name,formula,mw,ph,qty,purity,cas,hazard
Bovine Serum Albumin,(protein),66500,7.4,10g,98.0,9048-46-8,SAFE
Sodium Azide,NaN3,65.01,7.0,5g,99.5,26628-22-8,DANGER
Polysorbate 80,C64H124O26,1310,6.5,50ml,99.0,9005-65-6,WARNING
Formaldehyde,CH2O,30.03,4.0,100ml,37.0,50-00-0,DANGER
Ethanol,C2H5OH,46.07,7.0,200ml,99.8,64-17-5,SAFE
Triton X-100,C14H22O,647,7.0,25ml,98.0,9002-93-1,WARNING
Glycerol,C3H8O3,92.09,7.0,100ml,99.5,56-81-5,SAFE
Ethidium Bromide,C21H20BrN3,394.3,7.0,1g,95.0,1239-45-8,DANGER
EDTA,C10H16N2O8,292.24,8.0,50g,99.0,60-00-4,WARNING
Tris Buffer,C4H11NO3,121.14,8.5,100g,99.9,77-86-1,SAFE
PEG-400,C2nH4n+2On+1,400,6.0,250ml,99.0,25322-68-3,INFO
Mannitol,C6H14O6,182.17,7.0,50g,99.5,69-65-8,SAFE
Histidine,C6H9N3O2,155.15,7.6,10g,98.5,71-00-1,SAFE
Polysorbate 20,C58H114O26,1228,6.5,50ml,99.0,9005-64-5,WARNING
Mercury Chloride,HgCl2,271.52,4.5,5g,99.9,7487-94-7,DANGER
Acetic Acid,CH3COOH,60.05,3.5,100ml,99.8,64-19-7,WARNING
Acetone,C3H6O,58.08,7.0,500ml,99.5,67-64-1,WARNING
Acetonitrile,C2H3N,41.05,7.0,250ml,99.9,75-05-8,WARNING
Acrylamide,C3H5NO,71.08,7.0,100g,98.0,79-06-1,DANGER
Agar,C12H18O9,336.3,7.0,100g,99.0,9002-18-0,SAFE
Agarose,C12H18O9,120000,7.0,50g,99.5,9012-36-6,SAFE
Ammonium Acetate,C2H7NO2,77.08,7.0,100g,98.0,631-61-8,SAFE
Ammonium Bicarbonate,NH4HCO3,79.06,7.8,100g,99.0,1066-33-7,SAFE
Ammonium Chloride,NH4Cl,53.49,5.5,250g,99.5,12125-02-9,WARNING
Ammonium Persulfate,H8N2O8S2,228.2,5.0,25g,98.0,7727-54-0,WARNING
Ammonium Sulfate,(NH4)2SO4,132.14,5.5,500g,99.0,7783-20-2,SAFE
Ampicillin,C16H19N3O4S,349.4,8.5,5g,96.0,69-53-4,INFO
Ascorbic Acid,C6H8O6,176.12,3.0,100g,99.5,50-81-7,SAFE
Boric Acid,H3BO3,61.83,5.1,500g,99.5,10043-35-3,WARNING
Bromophenol Blue,C19H10Br4O5S,669.96,7.0,1g,95.0,115-39-9,INFO
Calcium Chloride,CaCl2,110.98,7.0,500g,99.0,10043-52-4,SAFE
Calcium Phosphate,Ca3(PO4)2,310.18,7.0,100g,98.0,7758-87-4,SAFE
Chloroform,CHCl3,119.38,7.0,500ml,99.0,67-66-3,DANGER
Citric Acid,C6H8O7,192.12,2.2,500g,99.5,77-92-9,SAFE
Copper Sulfate,CuSO4,159.61,4.0,100g,99.0,7758-98-7,WARNING
DMSO,C2H6OS,78.13,7.0,100ml,99.9,67-68-5,INFO
Dextrose,C6H12O6,180.16,7.0,500g,99.5,50-99-7,SAFE
Dimethylformamide,C3H7NO,73.09,7.0,250ml,99.8,68-12-2,DANGER
Dithiothreitol,C4H10O2S2,154.25,7.0,1g,99.0,3483-12-3,WARNING
Dopamine HCl,C8H12ClNO2,189.64,5.0,5g,98.0,62-31-7,INFO
Ethylene Glycol,C2H6O2,62.07,7.0,500ml,99.0,107-21-1,WARNING
Ferric Chloride,FeCl3,162.2,3.0,100g,98.0,7705-08-0,WARNING
Folic Acid,C19H19N7O6,441.4,7.0,25g,97.0,59-30-3,SAFE
Glucose,C6H12O6,180.16,7.0,500g,99.9,492-62-6,SAFE
Glutaraldehyde,C5H8O2,100.12,7.0,100ml,25.0,111-30-8,DANGER
Guanidine HCl,CH6ClN3,95.53,7.0,100g,99.0,50-01-1,WARNING
HEPES,C8H18N2O4S,238.3,7.4,100g,99.5,7365-45-9,SAFE
Hydrochloric Acid,HCl,36.46,1.0,500ml,37.0,7647-01-0,DANGER
Hydrogen Peroxide,H2O2,34.01,4.5,500ml,30.0,7722-84-1,DANGER
Imidazole,C3H4N2,68.08,6.95,100g,99.0,288-32-4,WARNING
Isopropanol,C3H8O,60.1,7.0,500ml,99.9,67-63-0,WARNING
Kanamycin,C18H36N4O11,484.5,8.0,1g,95.0,8063-07-8,INFO
L-Arginine,C6H14N4O2,174.2,10.76,25g,98.5,74-79-3,SAFE
L-Cysteine,C3H7NO2S,121.16,5.07,10g,98.0,52-90-4,SAFE
L-Glutamine,C5H10N2O3,146.15,7.0,100g,99.0,56-85-9,SAFE
L-Proline,C5H9NO2,115.13,6.3,25g,99.0,147-85-3,SAFE
Lactic Acid,C3H6O3,90.08,2.44,100ml,85.0,50-21-5,SAFE
Lithium Chloride,LiCl,42.39,7.0,100g,99.0,7447-41-8,WARNING
Magnesium Chloride,MgCl2,95.21,7.0,500g,98.0,7786-30-3,SAFE
Magnesium Sulfate,MgSO4,120.37,7.0,500g,99.5,7487-88-9,SAFE
Maleic Acid,C4H4O4,116.07,1.9,100g,99.0,110-16-7,WARNING
Methanol,CH3OH,32.04,7.0,500ml,99.9,67-56-1,DANGER
Methylene Blue,C16H18ClN3S,319.85,7.0,25g,95.0,61-73-4,INFO
Nonidet P-40,C34H62O10,582.8,7.0,100ml,98.0,9016-45-9,WARNING
PBS Buffer,NaCl+KCl+Na2HPO4,350,7.4,500ml,99.0,N/A,SAFE
Phenol,C6H5OH,94.11,6.0,500ml,99.0,108-95-2,DANGER
Phenol Red,C19H14O5S,354.38,7.0,5g,95.0,143-74-8,INFO
Phosphoric Acid,H3PO4,97.99,1.5,500ml,85.0,7664-38-2,WARNING
Potassium Chloride,KCl,74.55,7.0,500g,99.5,7447-40-7,SAFE
Potassium Hydroxide,KOH,56.11,13.5,250g,85.0,1310-58-3,DANGER
Potassium Iodide,KI,166.0,7.0,100g,99.5,7681-11-0,WARNING
Propidium Iodide,C27H34I2N4,668.4,7.0,100mg,95.0,25535-16-4,DANGER
Proteinase K,(protein),28900,7.5,100mg,90.0,39450-01-6,INFO
